Nome Parlamentar;Partido;UF;Titular/Suplente/Efetivado;Endereço;Anexo;Endereço (continuação);Gabinete;Endereço (complemento);Telefone;Fax;Mês Aniversário;Dia Aniversário;Correio Eletrônico;Nome sem Acento;Tratamento;Nome Civil;PEC135/19
Afonso Motta;PDT;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;528;Brasília - DF - CEP 70160-900;3215-5528;3215-2528;1;8;dep.afonsomotta@camara.leg.br;Afonso Motta;Exmo. Senhor Deputado;AFONSO ANTUNES DA MOTTA;0
Aguinaldo Ribeiro;PP;PB;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;735;Brasília - DF - CEP 70160-900;3215-5735;3215-2735;2;13;dep.aguinaldoribeiro@camara.leg.br;Aguinaldo Ribeiro;Exmo. Senhor Deputado;AGUINALDO VELLOSO BORGES RIBEIRO;
Airton Faleiro;PT;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;327;Brasília - DF - CEP 70160-900;3215-5327;3215-2327;3;16;dep.airtonfaleiro@camara.leg.br;Airton Faleiro;Exmo. Senhor Deputado;AIRTON LUIZ FALEIRO;0
AJ Albuquerque;PP;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;708;Brasília - DF - CEP 70160-900;3215-5708;3215-2708;9;26;dep.ajalbuquerque@camara.leg.br;AJ Albuquerque;Exmo. Senhor Deputado;ANTONIO JOSE AGUIAR ALBUQUERQUE;
Alan Rick;DEM;AC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;650;Brasília - DF - CEP 70160-900;3215-5650;3215-2650;10;23;dep.alanrick@camara.leg.br;Alan Rick;Exmo. Senhor Deputado;ALAN RICK MIRANDA;1
Alceu Moreira;MDB;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;238;Brasília - DF - CEP 70160-900;3215-5238;3215-2238;6;4;dep.alceumoreira@camara.leg.br;Alceu Moreira;Exmo. Senhor Deputado;ALCEU MOREIRA DA SILVA;1
Alcides Rodrigues;PATRIOTA;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;332;Brasília - DF - CEP 70160-900;3215-5332;3215-2332;10;8;dep.alcidesrodrigues@camara.leg.br;Alcides Rodrigues;Exmo. Senhor Deputado;ALCIDES RODRIGUES FILHO;0
Alê Silva;PSL;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;462;Brasília - DF - CEP 70160-900;3215-5462;3215-2462;7;4;dep.alesilva@camara.leg.br;Ale Silva;Exma. Senhora Deputada;ALESSANDRA DA SILVA;1
Alencar Santana Braga;PT;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;239;Brasília - DF - CEP 70160-900;3215-5239;3215-2239;3;14;dep.alencarsantanabraga@camara.leg.br;Alencar Santana Braga;Exmo. Senhor Deputado;ALENCAR SANTANA BRAGA;0
Alessandro Molon;PSB;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;304;Brasília - DF - CEP 70160-900;3215-5304;3215-2304;10;28;dep.alessandromolon@camara.leg.br;Alessandro Molon;Exmo. Senhor Deputado;ALESSANDRO LUCCIOLA MOLON;0
Alex Manente;CIDADANIA;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;205;Brasília - DF - CEP 70160-900;3215-5205;3215-2205;8;22;dep.alexmanente@camara.leg.br;Alex Manente;Exmo. Senhor Deputado;ALEX SPINELLI MANENTE;0
Alex Santana;PDT;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;541;Brasília - DF - CEP 70160-900;3215-5541;3215-2541;6;22;dep.alexsantana@camara.leg.br;Alex Santana;Exmo. Senhor Deputado;ALEX MARCO SANTANA SOUSA;1
Alexandre Frota;PSDB;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;216;Brasília - DF - CEP 70160-900;3215-5216;3215-2216;10;14;dep.alexandrefrota@camara.leg.br;Alexandre Frota;Exmo. Senhor Deputado;ALEXANDRE FROTA DE ANDRADE;0
Alexandre Leite;DEM;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;841;Brasília - DF - CEP 70160-900;3215-5841;3215-2841;4;18;dep.alexandreleite@camara.leg.br;Alexandre Leite;Exmo. Senhor Deputado;ALEXANDRE LEITE DA SILVA;0
Alexandre Padilha;PT;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;956;Brasília - DF - CEP 70160-900;3215-5956;3215-2956;9;14;dep.alexandrepadilha@camara.leg.br;Alexandre Padilha;Exmo. Senhor Deputado;ALEXANDRE ROCHA SANTOS PADILHA;
Alexis Fonteyne;NOVO;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;845;Brasília - DF - CEP 70160-900;3215-5845;3215-2845;8;19;dep.alexisfonteyne@camara.leg.br;Alexis Fonteyne;Exmo. Senhor Deputado;Alexis Joseph Steverlynck Fonteyne;1
Alice Portugal;PCdoB;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;420;Brasília - DF - CEP 70160-900;3215-5420;3215-2420;5;16;dep.aliceportugal@camara.leg.br;Alice Portugal;Exma. Senhora Deputada;ALICE MAZZUCO PORTUGAL;0
Aliel Machado;PSB;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;220;Brasília - DF - CEP 70160-900;3215-5220;3215-2220;2;26;dep.alielmachado@camara.leg.br;Aliel Machado;Exmo. Senhor Deputado;ALIEL MACHADO BARK;0
Aline Gurgel;REPUBLICANOS;AP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;342;Brasília - DF - CEP 70160-900;3215-5342;3215-2342;11;25;dep.alinegurgel@camara.leg.br;Aline Gurgel;Exma. Senhora Deputada;ALINE PARANHOS VARONIL GURGEL;1
Aline Sleutjes;PSL;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;550;Brasília - DF - CEP 70160-900;3215-5550;3215-2550;7;26;dep.alinesleutjes@camara.leg.br;Aline Sleutjes;Exma. Senhora Deputada;ALINE SLEUTJES;1
Altineu Côrtes;PL;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;336;Brasília - DF - CEP 70160-900;3215-5336;3215-2336;9;13;dep.altineucortes@camara.leg.br;Altineu Cortes;Exmo. Senhor Deputado;ALTINEU CÔRTES FREITAS COUTINHO;0
Aluisio Mendes;PSC;MA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;931;Brasília - DF - CEP 70160-900;3215-5931;3215-2931;11;11;dep.aluisiomendes@camara.leg.br;Aluisio Mendes;Exmo. Senhor Deputado;ALUISIO GUIMARAES MENDES FILHO;1
Amaro Neto;REPUBLICANOS;ES;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;515;Brasília - DF - CEP 70160-900;3215-5515;3215-2515;12;4;dep.amaroneto@camara.leg.br;Amaro Neto;Exmo. Senhor Deputado;AMARO ROCHA NASCIMENTO NETO;1
André Abdon;PP;AP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;831;Brasília - DF - CEP 70160-900;3215-5831;3215-2831;11;10;dep.andreabdon@camara.leg.br;Andre Abdon;Exmo. Senhor Deputado;ANDRE DOS SANTOS ABDON;
André de Paula;PSD;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;754;Brasília - DF - CEP 70160-900;3215-5754;3215-2754;7;22;dep.andredepaula@camara.leg.br;Andre de Paula;Exmo. Senhor Deputado;ANDRÉ CARLOS ALVES DE PAULA FILHO;0
André Ferreira;PSC;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;450;Brasília - DF - CEP 70160-900;3215-5450;3215-2450;12;10;dep.andreferreira@camara.leg.br;Andre Ferreira;Exmo. Senhor Deputado;ANDRÉ FERREIRA RODRIGUES;1
André Figueiredo;PDT;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;940;Brasília - DF - CEP 70160-900;3215-5940;3215-2940;11;10;dep.andrefigueiredo@camara.leg.br;Andre Figueiredo;Exmo. Senhor Deputado;ANDRÉ PEIXOTO FIGUEIREDO LIMA;0
André Fufuca;PP;MA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;945;Brasília - DF - CEP 70160-900;3215-5945;3215-2945;8;27;dep.andrefufuca@camara.leg.br;Andre Fufuca;Exmo. Senhor Deputado;ANDRE LUIZ CARVALHO RIBEIRO;
André Janones;AVANTE;MG;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;580;Brasília - DF - CEP 70160-900;3215-5580;3215-2580;5;5;dep.andrejanones@camara.leg.br;Andre Janones;Exmo. Senhor Deputado;ANDRE LUIS GASPAR JANONES;0
Angela Amin;PP;SC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;252;Brasília - DF - CEP 70160-900;3215-5252;3215-2252;12;20;dep.angelaamin@camara.leg.br;Angela Amin;Exma. Senhora Deputada;ANGELA REGINA HEINZEN AMIN HELOU;0
Aníbal Gomes;DEM;CE;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;731;Brasília - DF - CEP 70160-900;3215-5731;3215-2731;6;7;dep.anibalgomes@camara.leg.br;Anibal Gomes;Exmo. Senhor Deputado;ANÍBAL FERREIRA GOMES;
Antonio Brito;PSD;BA;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;479;Brasília - DF - CEP 70160-900;3215-5479;3215-2479;1;17;dep.antoniobrito@camara.leg.br;Antonio Brito;Exmo. Senhor Deputado;ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO;0
Arlindo Chinaglia;PT;SP;T;Câmara dos Deputados, Edifício Anexo;0;, gabinete nº;4;Brasília - DF - CEP 70160-900;3215-5966;3215-5966;12;24;dep.arlindochinaglia@camara.leg.br;Arlindo Chinaglia;Exmo. Senhor Deputado;ARLINDO CHIGNALIA JUNIOR;0
Arnaldo Jardim;CIDADANIA;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;245;Brasília - DF - CEP 70160-900;3215-5245;3215-2245;5;8;dep.arnaldojardim@camara.leg.br;Arnaldo Jardim;Exmo. Senhor Deputado;ARNALDO CALIL PEREIRA JARDIM;0
Aroldo Martins;REPUBLICANOS;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;437;Brasília - DF - CEP 70160-900;3215-5437;3215-2437;7;3;dep.aroldomartins@camara.leg.br;Aroldo Martins;Exmo. Senhor Deputado;JOSE AROLDO SOUZA MARTINS;1
Arthur Lira;PP;AL;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;942;Brasília - DF - CEP 70160-900;3215-5942;3215-2942;6;25;dep.arthurlira@camara.leg.br;Arthur Lira;Exmo. Senhor Deputado;ARTHUR CÉSAR PEREIRA DE LIRA;presidente
Arthur Oliveira Maia;DEM;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;830;Brasília - DF - CEP 70160-900;3215-5830;3215-2830;8;17;dep.arthuroliveiramaia@camara.leg.br;Arthur Oliveira Maia;Exmo. Senhor Deputado;ARTHUR DE OLIVEIRA MAIA DA SILVA;
Átila Lins;PP;AM;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;730;Brasília - DF - CEP 70160-900;3215-5730;3215-2730;11;22;dep.atilalins@camara.leg.br;Atila Lins;Exmo. Senhor Deputado;ÁTILA SIDNEY LINS ALBUQUERQUE;1
Átila Lira;PP;PI;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;640;Brasília - DF - CEP 70160-900;3215-5640;3215-2640;4;7;dep.atilalira@camara.leg.br;Atila Lira;Exmo. Senhor Deputado;ÁTILA FREITAS LIRA;0
Augusto Coutinho;SOLIDARIEDADE;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;314;Brasília - DF - CEP 70160-900;3215-5314;3215-2314;10;22;dep.augustocoutinho@camara.leg.br;Augusto Coutinho;Exmo. Senhor Deputado;AUGUSTO RODRIGUES COUTINHO DE MELO;0
Áurea Carolina;PSOL;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;619;Brasília - DF - CEP 70160-900;3215-5619;3215-2619;11;20;dep.aureacarolina@camara.leg.br;Aurea Carolina;Exma. Senhora Deputada;ÁUREA CAROLINA DE FREITAS E SILVA;0
Aureo Ribeiro;SOLIDARIEDADE;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;212;Brasília - DF - CEP 70160-900;3215-5212;3215-2212;2;17;dep.aureoribeiro@camara.leg.br;Aureo Ribeiro;Exmo. Senhor Deputado;AUREO LIDIO MOREIRA RIBEIRO;0
Bacelar;PODE;BA;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;381;Brasília - DF - CEP 70160-900;3215-5381;3215-2381;7;9;dep.bacelar@camara.leg.br;Bacelar;Exmo. Senhor Deputado;JOAO CARLOS BACELAR BATISTA;0
Baleia Rossi;MDB;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;829;Brasília - DF - CEP 70160-900;3215-5829;3215-2829;6;9;dep.baleiarossi@camara.leg.br;Baleia Rossi;Exmo. Senhor Deputado;LUIZ FELIPE BALEIA TENUTO ROSSI;0
Benedita da Silva;PT;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;330;Brasília - DF - CEP 70160-900;3215-5330;3215-2330;4;26;dep.beneditadasilva@camara.leg.br;Benedita da Silva;Exma. Senhora Deputada;BENEDITA SOUZA DA SILVA SAMPAIO;0
Benes Leocádio;REPUBLICANOS;RN;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;417;Brasília - DF - CEP 70160-900;3215-5417;3215-2417;4;22;dep.benesleocadio@camara.leg.br;Benes Leocadio;Exmo. Senhor Deputado;LUIZ BENES LEOCADIO DE ARAUJO;1
Beto Faro;PT;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;723;Brasília - DF - CEP 70160-900;3215-5723;3215-2723;6;20;dep.betofaro@camara.leg.br;Beto Faro;Exmo. Senhor Deputado;JOSÉ ROBERTO OLIVEIRA FARO;0
Beto Pereira;PSDB;MS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;240;Brasília - DF - CEP 70160-900;3215-5240;3215-2240;11;14;dep.betopereira@camara.leg.br;Beto Pereira;Exmo. Senhor Deputado;HUMBERTO REZENDE PEREIRA;0
Beto Rosado;PP;RN;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;840;Brasília - DF - CEP 70160-900;3215-5840;3215-2840;2;1;dep.betorosado@camara.leg.br;Beto Rosado;Exmo. Senhor Deputado;CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO;0
Bia Cavassa;PSDB;MS;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;448;Brasília - DF - CEP 70160-900;3215-5448;3215-2448;1;14;dep.biacavassa@camara.leg.br;Bia Cavassa;Exma. Senhora Deputada;BEATRIZ ROSALIA RIBEIRO CAVASSA DE OLIVEIRA;1
Bia Kicis;PSL;DF;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;309;Brasília - DF - CEP 70160-900;3215-5309;3215-2309;9;19;dep.biakicis@camara.leg.br;Bia Kicis;Exma. Senhora Deputada;BEATRIZ KICIS TORRENTS DE SORDI;1
Bibo Nunes;PSL;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;518;Brasília - DF - CEP 70160-900;3215-5518;3215-2518;1;9;dep.bibonunes@camara.leg.br;Bibo Nunes;Exmo. Senhor Deputado;ALCIBIO MESQUITA BIBO NUNES;1
Bilac Pinto;DEM;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;806;Brasília - DF - CEP 70160-900;3215-5806;3215-2806;6;8;dep.bilacpinto@camara.leg.br;Bilac Pinto;Exmo. Senhor Deputado;OLAVO BILAC PINTO NETO;
Bira do Pindaré;PSB;MA;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;480;Brasília - DF - CEP 70160-900;3215-5480;3215-2480;11;1;dep.biradopindare@camara.leg.br;Bira do Pindare;Exmo. Senhor Deputado;UBIRAJARA DO PINDARÉ ALMEIDA SOUSA;0
Boca Aberta;PROS;PR;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;384;Brasília - DF - CEP 70160-900;3215-5384;3215-2384;8;7;dep.bocaaberta@camara.leg.br;Boca Aberta;Exmo. Senhor Deputado;EMERSON MIGUEL PETRIV;1
Bohn Gass;PT;RS;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;873;Brasília - DF - CEP 70160-900;3215-5873;3215-2873;2;5;dep.bohngass@camara.leg.br;Bohn Gass;Exmo. Senhor Deputado;ELVINO JOSÉ BOHN GASS;0
Bosco Costa;PL;SE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;742;Brasília - DF - CEP 70160-900;3215-5742;3215-2742;9;28;dep.boscocosta@camara.leg.br;Bosco Costa;Exmo. Senhor Deputado;JOÃO BOSCO DA COSTA;0
Bosco Saraiva;SOLIDARIEDADE;AM;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;404;Brasília - DF - CEP 70160-900;3215-5404;3215-2404;10;10;dep.boscosaraiva@camara.leg.br;Bosco Saraiva;Exmo. Senhor Deputado;JOÃO BOSCO GOMES SARAIVA;0
Bozzella;PSL;SP;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;582;Brasília - DF - CEP 70160-900;3215-5582;3215-2582;8;17;dep.bozzella@camara.leg.br;Bozzella;Exmo. Senhor Deputado;NICOLINO BOZZELLA JUNIOR;0
Bruna Furlan;PSDB;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;836;Brasília - DF - CEP 70160-900;3215-5836;3215-2836;4;28;dep.brunafurlan@camara.leg.br;Bruna Furlan;Exma. Senhora Deputada;BRUNA DIAS FURLAN;
Cacá Leão;PP;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;320;Brasília - DF - CEP 70160-900;3215-5320;3215-2320;11;3;dep.cacaleao@camara.leg.br;Caca Leao;Exmo. Senhor Deputado;CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO;1
Camilo Capiberibe;PSB;AP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;209;Brasília - DF - CEP 70160-900;3215-5209;3215-2209;5;23;dep.camilocapiberibe@camara.leg.br;Camilo Capiberibe;Exmo. Senhor Deputado;CARLOS CAMILO GÓES CAPIBERIBE;0
Capitão Alberto Neto;REPUBLICANOS;AM;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;933;Brasília - DF - CEP 70160-900;3215-5933;3215-2933;5;5;dep.capitaoalbertoneto@camara.leg.br;Capitao Alberto Neto;Exmo. Senhor Deputado;ALBERTO BARROS CAVALCANTE NETO;1
Capitão Augusto;PL;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;358;Brasília - DF - CEP 70160-900;3215-5358;3215-2358;10;4;dep.capitaoaugusto@camara.leg.br;Capitao Augusto;Exmo. Senhor Deputado;JOSE AUGUSTO ROSA;1
Capitão Fábio Abreu;PL;PI;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;202;Brasília - DF - CEP 70160-900;3215-5202;3215-2202;12;31;dep.capitaofabioabreu@camara.leg.br;Capitao Fabio Abreu;Exmo. Senhor Deputado;FABIO ABREU COSTA;0
Capitão Wagner;PROS;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;711;Brasília - DF - CEP 70160-900;3215-5711;3215-2711;1;21;dep.capitaowagner@camara.leg.br;Capitao Wagner;Exmo. Senhor Deputado;WAGNER SOUSA GOMES;1
Carla Dickson;PROS;RN;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;706;Brasília - DF - CEP 70160-900;3215-5706;3215-2706;7;2;dep.carladickson@camara.leg.br;Carla Dickson;Exma. Senhora Deputada;HILKEA CARLA DE SOUZA MEDEIROS LIMA;1
Carla Zambelli;PSL;SP;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;482;Brasília - DF - CEP 70160-900;3215-5482;3215-2482;7;3;dep.carlazambelli@camara.leg.br;Carla Zambelli;Exma. Senhora Deputada;CARLA ZAMBELLI SALGADO DE OLIVEIRA;1
Carlos Chiodini;MDB;SC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;925;Brasília - DF - CEP 70160-900;3215-5925;3215-2925;3;8;dep.carloschiodini@camara.leg.br;Carlos Chiodini;Exmo. Senhor Deputado;CARLOS ALBERTO CHIODINI;1
Carlos Gomes;REPUBLICANOS;RS;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;285;Brasília - DF - CEP 70160-900;3215-5285;3215-2285;6;13;dep.carlosgomes@camara.leg.br;Carlos Gomes;Exmo. Senhor Deputado;ANTONIO CARLOS GOMES DA SILVA;1
Carlos Henrique Gaguim;DEM;TO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;214;Brasília - DF - CEP 70160-900;3215-5214;3215-2214;4;21;dep.carloshenriquegaguim@camara.leg.br;Carlos Henrique Gaguim;Exmo. Senhor Deputado;CARLOS HENRIQUE AMORIM;1
Carlos Jordy;PSL;RJ;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;383;Brasília - DF - CEP 70160-900;3215-5383;3215-2383;2;8;dep.carlosjordy@camara.leg.br;Carlos Jordy;Exmo. Senhor Deputado;Carlos Roberto Coelho de Mattos Júnior;1
Carlos Sampaio;PSDB;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;207;Brasília - DF - CEP 70160-900;3215-5207;3215-2207;3;31;dep.carlossampaio@camara.leg.br;Carlos Sampaio;Exmo. Senhor Deputado;CARLOS HENRIQUE FOCESI SAMPAIO;0
Carlos Veras;PT;PE;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;870;Brasília - DF - CEP 70160-900;3215-5870;3215-2870;8;10;dep.carlosveras@camara.leg.br;Carlos Veras;Exmo. Senhor Deputado;JOSÉ CARLOS VERAS DOS SANTOS;0
Carlos Zarattini;PT;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;808;Brasília - DF - CEP 70160-900;3215-5808;3215-2808;6;8;dep.carloszarattini@camara.leg.br;Carlos Zarattini;Exmo. Senhor Deputado;CARLOS ALBERTO ROLIM ZARATTINI;0
Carmen Zanotto;CIDADANIA;SC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;418;Brasília - DF - CEP 70160-900;3215-5418;3215-2418;10;6;dep.carmenzanotto@camara.leg.br;Carmen Zanotto;Exma. Senhora Deputada;CARMEN EMÍLIA BONFÁ ZANOTTO;1
Caroline de Toni;PSL;SC;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;476;Brasília - DF - CEP 70160-900;3215-5476;3215-2476;9;1;dep.carolinedetoni@camara.leg.br;Caroline de Toni;Exma. Senhora Deputada;CAROLINE RODRIGUES DE TONI;1
Cássio Andrade;PSB;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;433;Brasília - DF - CEP 70160-900;3215-5433;3215-2433;9;12;dep.cassioandrade@camara.leg.br;Cassio Andrade;Exmo. Senhor Deputado;CASSIO COELHO ANDRADE;
Celina Leão;PP;DF;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;260;Brasília - DF - CEP 70160-900;3215-5260;3215-2260;3;2;dep.celinaleao@camara.leg.br;Celina Leao;Exma. Senhora Deputada;CELINA LEAO HIZIM FERREIRA;1
Célio Moura;PT;TO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;832;Brasília - DF - CEP 70160-900;3215-5832;3215-2832;8;13;dep.celiomoura@camara.leg.br;Celio Moura;Exmo. Senhor Deputado;CELIO ALVES DE MOURA;0
Célio Silveira;PSDB;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;511;Brasília - DF - CEP 70160-900;3215-5511;3215-2511;9;19;dep.celiosilveira@camara.leg.br;Celio Silveira;Exmo. Senhor Deputado;CELIO ANTONIO DA SILVEIRA;1
Célio Studart;PV;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;519;Brasília - DF - CEP 70160-900;3215-5519;3215-2519;6;19;dep.celiostudart@camara.leg.br;Celio Studart;Exmo. Senhor Deputado;CELIO STUDART BARBOSA;0
Celso Maldaner;MDB;SC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;311;Brasília - DF - CEP 70160-900;3215-5311;3215-2311;8;30;dep.celsomaldaner@camara.leg.br;Celso Maldaner;Exmo. Senhor Deputado;CELSO MALDANER;1
